;trat;germ;vel
1;15;0;0
2;15;0;0
3;15;0;0
4;15;0;0
5;15;0;0
6;15;0;0
7;15;0;0
8;15;0;0
9;15;0;0
10;15;0;0
11;15;0;0
12;15;0;0
13;15;0;0
14;15;0;0
15;15;0;0
16;15;0;0
17;20;8;0.055555556
18;20;0;0
19;20;8;0.052631579
20;20;0;0
21;20;8;0.052631579
22;20;16;0.055555556
23;20;8;0.055555556
24;20;0;0
25;20;4;0.052631579
26;20;8;0.052631579
27;20;0;0
28;20;4;0.052631579
29;20;4;0.052631579
30;20;4;0.058823529
31;20;0;0
32;20;0;0
33;25;28;0.064220183
34;25;52;0.064676617
35;25;60;0.062761506
36;25;56;0.060869565
37;25;16;0.066666667
38;25;52;0.061611374
39;25;36;0.058064516
40;25;64;0.057971014
41;25;48;0.063157895
42;25;60;0.06122449
43;25;68;0.057627119
44;25;64;0.061538462
45;25;48;0.057692308
46;25;44;0.058823529
47;25;20;0.066666667
48;25;44;0.061452514
49;30;64;0.087912088
50;30;60;0.096774194
51;30;80;0.071428571
52;30;68;0.105590062
53;30;68;0.088082902
54;30;80;0.070921986
55;30;64;0.076923077
56;30;88;0.067073171
57;30;72;0.074380165
58;30;88;0.073333333
59;30;80;0.068493151
60;30;80;0.06993007
61;30;68;0.079069767
62;30;60;0.077720207
63;30;80;0.085470085
64;30;92;0.086142322
65;35;52;0.065989848
66;35;32;0.064516129
67;35;36;0.062068966
68;35;52;0.071823204
69;35;100;0.062972292
70;35;100;0.062656642
71;35;64;0.071428571
72;35;40;0.074626866
73;35;52;0.071823204
74;35;60;0.071770335
75;35;60;0.062761506
76;35;56;0.067307692
77;35;60;0.066079295
78;35;28;0.063063063
79;35;32;0.070175439
80;35;32;0.070175439
